307,"結果","です","が",2
308,"です","が","、",22
309,"が","、","なんとか",3
310,"、","なんとか","三",2
311,"なんとか","三","位",2
312,"三","位","に",2
313,"位","に","入る",2
314,"に","入る","こと",2
315,"入る","こと","が",2
316,"こと","が","でき",6
317,"が","でき","まし",2
318,"でき","まし","た",3
319,"た","。","あいつ",3
320,"。","あいつ","ら",5
321,"あいつ","ら","の",2
322,"ら","の","唖然",2
323,"の","唖然","と",2
324,"唖然","と","し",3
325,"と","し","た",19
326,"し","た","表情",5
327,"た","表情","は",2
328,"表情","は","俺",2
329,"は","俺","の",3
330,"俺","の","最高",2
331,"の","最高","の",2
332,"最高","の","デザート",2
333,"の","デザート","だっ",2
334,"デザート","だっ","た",2
335,"た","。","平常",2
336,"。","平常","心",2
337,"平常","心","を",2
338,"心","を","装っ",2
339,"を","装っ","て",2
340,"装っ","て","さりげ",2
341,"て","さりげ","なく",2
342,"さりげ","なく","いつも",2
343,"なく","いつも","通り",2
344,"いつも","通り","の",2
345,"通り","の","『",2
346,"の","『","ごちそうさま",2
347,"『","ごちそうさま","』",3
348,"ごちそうさま","』","。",1
349,"』","。","そして",1
350,"。","そして","店主",1
351,"そして","店主","に",1
352,"店主","に","軽く",6
353,"に","軽く","会釈",6
354,"軽く","会釈","その",2
355,"会釈","その","時",2
356,"その","時","、",3
357,"時","、","店主",2
358,"、","店主","と",2
359,"店主","と","目",3
360,"と","目","が",7
361,"目","が","あっ",2
362,"が","あっ","た",4
363,"あっ","た","。",7
364,"た","。","店主",2
365,"。","店主","の",5
366,"店主","の","目",2
367,"の","目","は",2
368,"目","は","少し",2
369,"は","少し","笑っ",2
370,"少し","笑っ","て",2
371,"笑っ","て","いる",4
372,"て","いる","よう",10
373,"いる","よう","に",6
374,"よう","に","も",2
375,"に","も","見え",2
376,"も","見え","た",2
377,"見え","た","。",3
378,"た","。","俺",11
379,"。","俺","も",12
380,"俺","も","ついに",2
381,"も","ついに","店主",2
382,"ついに","店主","に",2
383,"店主","に","認め",2
384,"に","認め","られ",3
385,"認め","られ","た",5
386,"られ","た","か",2
387,"た","か","な",8
388,"か","な","ｗ",5
389,"な","ｗ","三",2
390,"ｗ","三","馬鹿",2
391,"三","馬鹿","トリオ",2
392,"馬鹿","トリオ","が",2
393,"トリオ","が","その後",2
394,"が","その後","どう",2
395,"その後","どう","なっ",2
396,"どう","なっ","た",2
397,"なっ","た","の",2
398,"た","の","か",10
399,"の","か","は",1
400,"か","は","知り",1
